ticker,sector,horizon_days,prediction_date,model,feature_profile,selected_feature_count_for_latest,threshold,latest_outperformance_probability,latest_predicts_outperformance_gt_1pct,test_accuracy,test_balanced_accuracy,test_auc,test_acc_auc_balanced_score,latest_selected_features,active_forward_return_if_known,action_signal,signal_edge,quality_score,quality_adjusted_edge_score,signal_basis
XLE,Energy,21,2025-10-30,challenger_logistic_price_relative,price_relative_strength_risk_calendar,36,0.3386559084098559,0.5689825176775358,1,0.43253968253968256,0.5261842105263158,0.3219078947368421,0.42404605263157896,sec_daily_return|spy_daily_return|active_daily_return|sector_spy_close_ratio|rsi_14|macd_histogram|calendar_month_sin|calendar_month_cos|sec_return_5d|spy_return_5d|active_return_5d|ratio_return_5d|sec_return_10d|spy_return_10d|active_return_10d|ratio_return_10d|sec_return_21d|spy_return_21d|active_return_21d|ratio_return_21d|sec_return_63d|spy_return_63d|active_return_63d|ratio_return_63d|sec_return_126d|spy_return_126d|active_return_126d|ratio_return_126d|sec_vol_20d|spy_vol_20d|rel_vol_20d|active_mean_20d|sec_vol_63d|spy_vol_63d|rel_vol_63d|active_mean_63d,0.04312922938617891,BUY,0.23032660926767995,0.42404605263157896,0.09766908947597573,BUY means the model predicts >1% 21-trading-day active return versus SPY. It is not an absolute positive-return guarantee.
XLF,Financials,21,2025-10-30,challenger_logistic_price_relative,price_relative_strength_risk_calendar,36,0.8352783749385,0.785517877314236,0,0.626984126984127,0.6022792385560578,0.5700643025402686,0.5861717705481633,sec_daily_return|spy_daily_return|active_daily_return|sector_spy_close_ratio|rsi_14|macd_histogram|calendar_month_sin|calendar_month_cos|sec_return_5d|spy_return_5d|active_return_5d|ratio_return_5d|sec_return_10d|spy_return_10d|active_return_10d|ratio_return_10d|sec_return_21d|spy_return_21d|active_return_21d|ratio_return_21d|sec_return_63d|spy_return_63d|active_return_63d|ratio_return_63d|sec_return_126d|spy_return_126d|active_return_126d|ratio_return_126d|sec_vol_20d|spy_vol_20d|rel_vol_20d|active_mean_20d|sec_vol_63d|spy_vol_63d|rel_vol_63d|active_mean_63d,0.011989188838630316,WATCH,-0.049760497624264044,0.5861717705481633,0.0,BUY means the model predicts >1% 21-trading-day active return versus SPY. It is not an absolute positive-return guarantee.
XLI,Industrials,21,2025-10-30,challenger_logistic_price_relative,price_relative_strength_risk_calendar,36,0.6269489185836602,0.5649169246753691,0,0.623015873015873,0.6245984251968504,0.6532913385826772,0.6389448818897638,sec_daily_return|spy_daily_return|active_daily_return|sector_spy_close_ratio|rsi_14|macd_histogram|calendar_month_sin|calendar_month_cos|sec_return_5d|spy_return_5d|active_return_5d|ratio_return_5d|sec_return_10d|spy_return_10d|active_return_10d|ratio_return_10d|sec_return_21d|spy_return_21d|active_return_21d|ratio_return_21d|sec_return_63d|spy_return_63d|active_return_63d|ratio_return_63d|sec_return_126d|spy_return_126d|active_return_126d|ratio_return_126d|sec_vol_20d|spy_vol_20d|rel_vol_20d|active_mean_20d|sec_vol_63d|spy_vol_63d|rel_vol_63d|active_mean_63d,-0.021656985330430145,AVOID,-0.06203199390829106,0.6389448818897638,0.0,BUY means the model predicts >1% 21-trading-day active return versus SPY. It is not an absolute positive-return guarantee.
XLK,Information Technology,21,2025-10-30,challenger_logistic_price_relative,price_relative_strength_risk_calendar,36,0.28328345145526757,0.13629889009409532,0,0.6190476190476191,0.6087789917577151,0.640725832215194,0.6247524119864545,sec_daily_return|spy_daily_return|active_daily_return|sector_spy_close_ratio|rsi_14|macd_histogram|calendar_month_sin|calendar_month_cos|sec_return_5d|spy_return_5d|active_return_5d|ratio_return_5d|sec_return_10d|spy_return_10d|active_return_10d|ratio_return_10d|sec_return_21d|spy_return_21d|active_return_21d|ratio_return_21d|sec_return_63d|spy_return_63d|active_return_63d|ratio_return_63d|sec_return_126d|spy_return_126d|active_return_126d|ratio_return_126d|sec_vol_20d|spy_vol_20d|rel_vol_20d|active_mean_20d|sec_vol_63d|spy_vol_63d|rel_vol_63d|active_mean_63d,-0.047386489359796724,AVOID,-0.14698456136117224,0.6247524119864545,0.0,BUY means the model predicts >1% 21-trading-day active return versus SPY. It is not an absolute positive-return guarantee.
XLP,Consumer Staples,21,2025-10-30,challenger_logistic_price_relative,price_relative_strength_risk_calendar,36,0.6399184618513252,0.2962771021718868,0,0.5634920634920635,0.5895840739424103,0.5347493778883754,0.5621667259153929,sec_daily_return|spy_daily_return|active_daily_return|sector_spy_close_ratio|rsi_14|macd_histogram|calendar_month_sin|calendar_month_cos|sec_return_5d|spy_return_5d|active_return_5d|ratio_return_5d|sec_return_10d|spy_return_10d|active_return_10d|ratio_return_10d|sec_return_21d|spy_return_21d|active_return_21d|ratio_return_21d|sec_return_63d|spy_return_63d|active_return_63d|ratio_return_63d|sec_return_126d|spy_return_126d|active_return_126d|ratio_return_126d|sec_vol_20d|spy_vol_20d|rel_vol_20d|active_mean_20d|sec_vol_63d|spy_vol_63d|rel_vol_63d|active_mean_63d,0.03582337599935426,AVOID,-0.3436413596794384,0.5621667259153929,0.0,BUY means the model predicts >1% 21-trading-day active return versus SPY. It is not an absolute positive-return guarantee.
XLU,Utilities,21,2025-10-30,challenger_logistic_price_relative,price_relative_strength_risk_calendar,36,0.5987370171465826,0.4066396854973523,0,0.6428571428571429,0.6497739861208378,0.6486916661361177,0.6492328261284778,sec_daily_return|spy_daily_return|active_daily_return|sector_spy_close_ratio|rsi_14|macd_histogram|calendar_month_sin|calendar_month_cos|sec_return_5d|spy_return_5d|active_return_5d|ratio_return_5d|sec_return_10d|spy_return_10d|active_return_10d|ratio_return_10d|sec_return_21d|spy_return_21d|active_return_21d|ratio_return_21d|sec_return_63d|spy_return_63d|active_return_63d|ratio_return_63d|sec_return_126d|spy_return_126d|active_return_126d|ratio_return_126d|sec_vol_20d|spy_vol_20d|rel_vol_20d|active_mean_20d|sec_vol_63d|spy_vol_63d|rel_vol_63d|active_mean_63d,-0.01413361595584417,AVOID,-0.19209733164923026,0.6492328261284778,0.0,BUY means the model predicts >1% 21-trading-day active return versus SPY. It is not an absolute positive-return guarantee.
XLV,Health Care,21,2025-10-30,challenger_logistic_price_relative,price_relative_strength_risk_calendar,36,0.8719489276876998,0.6919369094261074,0,0.5476190476190477,0.616158229969829,0.5287965135769359,0.5724773717733824,sec_daily_return|spy_daily_return|active_daily_return|sector_spy_close_ratio|rsi_14|macd_histogram|calendar_month_sin|calendar_month_cos|sec_return_5d|spy_return_5d|active_return_5d|ratio_return_5d|sec_return_10d|spy_return_10d|active_return_10d|ratio_return_10d|sec_return_21d|spy_return_21d|active_return_21d|ratio_return_21d|sec_return_63d|spy_return_63d|active_return_63d|ratio_return_63d|sec_return_126d|spy_return_126d|active_return_126d|ratio_return_126d|sec_vol_20d|spy_vol_20d|rel_vol_20d|active_mean_20d|sec_vol_63d|spy_vol_63d|rel_vol_63d|active_mean_63d,0.07551348267060964,AVOID,-0.1800120182615924,0.5724773717733824,0.0,BUY means the model predicts >1% 21-trading-day active return versus SPY. It is not an absolute positive-return guarantee.
XLY,Consumer Discretionary,21,2025-10-30,challenger_logistic_price_relative,price_relative_strength_risk_calendar,36,0.4902257844348777,0.5184146253463217,1,0.6071428571428571,0.6063508064516129,0.575226814516129,0.590788810483871,sec_daily_return|spy_daily_return|active_daily_return|sector_spy_close_ratio|rsi_14|macd_histogram|calendar_month_sin|calendar_month_cos|sec_return_5d|spy_return_5d|active_return_5d|ratio_return_5d|sec_return_10d|spy_return_10d|active_return_10d|ratio_return_10d|sec_return_21d|spy_return_21d|active_return_21d|ratio_return_21d|sec_return_63d|spy_return_63d|active_return_63d|ratio_return_63d|sec_return_126d|spy_return_126d|active_return_126d|ratio_return_126d|sec_vol_20d|spy_vol_20d|rel_vol_20d|active_mean_20d|sec_vol_63d|spy_vol_63d|rel_vol_63d|active_mean_63d,0.011545315276663137,BUY,0.02818884091144397,0.590788810483871,0.01665365179099106,BUY means the model predicts >1% 21-trading-day active return versus SPY. It is not an absolute positive-return guarantee.
XLB,Materials,21,2025-12-01,challenger_logistic_price_relative,price_relative_strength_risk_calendar,36,0.43750971786377146,0.5150437203700109,1,0.4603174603174603,0.5677922077922077,0.5447866419294991,0.5562894248608534,sec_daily_return|spy_daily_return|active_daily_return|sector_spy_close_ratio|rsi_14|macd_histogram|calendar_month_sin|calendar_month_cos|sec_return_5d|spy_return_5d|active_return_5d|ratio_return_5d|sec_return_10d|spy_return_10d|active_return_10d|ratio_return_10d|sec_return_21d|spy_return_21d|active_return_21d|ratio_return_21d|sec_return_63d|spy_return_63d|active_return_63d|ratio_return_63d|sec_return_126d|spy_return_126d|active_return_126d|ratio_return_126d|sec_vol_20d|spy_vol_20d|rel_vol_20d|active_mean_20d|sec_vol_63d|spy_vol_63d|rel_vol_63d|active_mean_63d,0.014618688992674933,BUY,0.07753400250623943,0.5562894248608534,0.0431313456613559,BUY means the model predicts >1% 21-trading-day active return versus SPY. It is not an absolute positive-return guarantee.
XLE,Energy,21,2025-12-01,challenger_logistic_price_relative,price_relative_strength_risk_calendar,36,0.3530714376281258,0.5354213352737908,1,0.42857142857142855,0.5335550382440971,0.3367475889590954,0.43515131360159626,sec_daily_return|spy_daily_return|active_daily_return|sector_spy_close_ratio|rsi_14|macd_histogram|calendar_month_sin|calendar_month_cos|sec_return_5d|spy_return_5d|active_return_5d|ratio_return_5d|sec_return_10d|spy_return_10d|active_return_10d|ratio_return_10d|sec_return_21d|spy_return_21d|active_return_21d|ratio_return_21d|sec_return_63d|spy_return_63d|active_return_63d|ratio_return_63d|sec_return_126d|spy_return_126d|active_return_126d|ratio_return_126d|sec_vol_20d|spy_vol_20d|rel_vol_20d|active_mean_20d|sec_vol_63d|spy_vol_63d|rel_vol_63d|active_mean_63d,-0.023231427468959343,BUY,0.18234989764566495,0.43515131360159626,0.07934979749562773,BUY means the model predicts >1% 21-trading-day active return versus SPY. It is not an absolute positive-return guarantee.
XLF,Financials,21,2025-12-01,challenger_logistic_price_relative,price_relative_strength_risk_calendar,36,0.8292377667705241,0.6842146513658799,0,0.6428571428571429,0.6337121212121213,0.6308712121212121,0.6322916666666667,sec_daily_return|spy_daily_return|active_daily_return|sector_spy_close_ratio|rsi_14|macd_histogram|calendar_month_sin|calendar_month_cos|sec_return_5d|spy_return_5d|active_return_5d|ratio_return_5d|sec_return_10d|spy_return_10d|active_return_10d|ratio_return_10d|sec_return_21d|spy_return_21d|active_return_21d|ratio_return_21d|sec_return_63d|spy_return_63d|active_return_63d|ratio_return_63d|sec_return_126d|spy_return_126d|active_return_126d|ratio_return_126d|sec_vol_20d|spy_vol_20d|rel_vol_20d|active_mean_20d|sec_vol_63d|spy_vol_63d|rel_vol_63d|active_mean_63d,0.033120038722753264,AVOID,-0.1450231154046442,0.6322916666666667,0.0,BUY means the model predicts >1% 21-trading-day active return versus SPY. It is not an absolute positive-return guarantee.
XLI,Industrials,21,2025-12-01,challenger_logistic_price_relative,price_relative_strength_risk_calendar,36,0.6574365794562124,0.8113137204680966,1,0.6150793650793651,0.6299145299145299,0.6637543526432416,0.6468344412788858,sec_daily_return|spy_daily_return|active_daily_return|sector_spy_close_ratio|rsi_14|macd_histogram|calendar_month_sin|calendar_month_cos|sec_return_5d|spy_return_5d|active_return_5d|ratio_return_5d|sec_return_10d|spy_return_10d|active_return_10d|ratio_return_10d|sec_return_21d|spy_return_21d|active_return_21d|ratio_return_21d|sec_return_63d|spy_return_63d|active_return_63d|ratio_return_63d|sec_return_126d|spy_return_126d|active_return_126d|ratio_return_126d|sec_vol_20d|spy_vol_20d|rel_vol_20d|active_mean_20d|sec_vol_63d|spy_vol_63d|rel_vol_63d|active_mean_63d,0.021874550454361152,BUY,0.1538771410118842,0.6468344412788858,0.09953303453201444,BUY means the model predicts >1% 21-trading-day active return versus SPY. It is not an absolute positive-return guarantee.
XLK,Information Technology,21,2025-12-01,challenger_logistic_price_relative,price_relative_strength_risk_calendar,36,0.2657959903771937,0.29661923213564,1,0.6547619047619048,0.6426079090204186,0.6535280434220729,0.6480679762212458,sec_daily_return|spy_daily_return|active_daily_return|sector_spy_close_ratio|rsi_14|macd_histogram|calendar_month_sin|calendar_month_cos|sec_return_5d|spy_return_5d|active_return_5d|ratio_return_5d|sec_return_10d|spy_return_10d|active_return_10d|ratio_return_10d|sec_return_21d|spy_return_21d|active_return_21d|ratio_return_21d|sec_return_63d|spy_return_63d|active_return_63d|ratio_return_63d|sec_return_126d|spy_return_126d|active_return_126d|ratio_return_126d|sec_vol_20d|spy_vol_20d|rel_vol_20d|active_mean_20d|sec_vol_63d|spy_vol_63d|rel_vol_63d|active_mean_63d,0.003127178840522493,BUY,0.030823241758446307,0.6480679762212458,0.01997555590697449,BUY means the model predicts >1% 21-trading-day active return versus SPY. It is not an absolute positive-return guarantee.
XLP,Consumer Staples,21,2025-12-01,challenger_logistic_price_relative,price_relative_strength_risk_calendar,36,0.6042742100378485,0.5423571574465711,0,0.5396825396825397,0.581766841468334,0.5251311012505042,0.5534489713594191,sec_daily_return|spy_daily_return|active_daily_return|sector_spy_close_ratio|rsi_14|macd_histogram|calendar_month_sin|calendar_month_cos|sec_return_5d|spy_return_5d|active_return_5d|ratio_return_5d|sec_return_10d|spy_return_10d|active_return_10d|ratio_return_10d|sec_return_21d|spy_return_21d|active_return_21d|ratio_return_21d|sec_return_63d|spy_return_63d|active_return_63d|ratio_return_63d|sec_return_126d|spy_return_126d|active_return_126d|ratio_return_126d|sec_vol_20d|spy_vol_20d|rel_vol_20d|active_mean_20d|sec_vol_63d|spy_vol_63d|rel_vol_63d|active_mean_63d,-0.02273066980697369,AVOID,-0.061917052591277444,0.5534489713594191,0.0,BUY means the model predicts >1% 21-trading-day active return versus SPY. It is not an absolute positive-return guarantee.
XLU,Utilities,21,2025-12-01,challenger_logistic_price_relative,price_relative_strength_risk_calendar,36,0.5958053871082296,0.5376234291221633,0,0.6309523809523809,0.640596469872185,0.6316358963954826,0.6361161831338338,sec_daily_return|spy_daily_return|active_daily_return|sector_spy_close_ratio|rsi_14|macd_histogram|calendar_month_sin|calendar_month_cos|sec_return_5d|spy_return_5d|active_return_5d|ratio_return_5d|sec_return_10d|spy_return_10d|active_return_10d|ratio_return_10d|sec_return_21d|spy_return_21d|active_return_21d|ratio_return_21d|sec_return_63d|spy_return_63d|active_return_63d|ratio_return_63d|sec_return_126d|spy_return_126d|active_return_126d|ratio_return_126d|sec_vol_20d|spy_vol_20d|rel_vol_20d|active_mean_20d|sec_vol_63d|spy_vol_63d|rel_vol_63d|active_mean_63d,-0.03778874372210672,AVOID,-0.05818195798606629,0.6361161831338338,0.0,BUY means the model predicts >1% 21-trading-day active return versus SPY. It is not an absolute positive-return guarantee.
XLV,Health Care,21,2025-12-01,challenger_logistic_price_relative,price_relative_strength_risk_calendar,36,0.8078663225127609,0.6280936143719891,0,0.5277777777777778,0.5946764840033882,0.4840685475988793,0.5393725158011338,sec_daily_return|spy_daily_return|active_daily_return|sector_spy_close_ratio|rsi_14|macd_histogram|calendar_month_sin|calendar_month_cos|sec_return_5d|spy_return_5d|active_return_5d|ratio_return_5d|sec_return_10d|spy_return_10d|active_return_10d|ratio_return_10d|sec_return_21d|spy_return_21d|active_return_21d|ratio_return_21d|sec_return_63d|spy_return_63d|active_return_63d|ratio_return_63d|sec_return_126d|spy_return_126d|active_return_126d|ratio_return_126d|sec_vol_20d|spy_vol_20d|rel_vol_20d|active_mean_20d|sec_vol_63d|spy_vol_63d|rel_vol_63d|active_mean_63d,-0.005580777562165351,AVOID,-0.17977270814077184,0.5393725158011338,0.0,BUY means the model predicts >1% 21-trading-day active return versus SPY. It is not an absolute positive-return guarantee.
XLY,Consumer Discretionary,21,2025-12-01,challenger_logistic_price_relative,price_relative_strength_risk_calendar,36,0.4864325824593591,0.5553394869477538,1,0.5793650793650794,0.5815405968077724,0.5566210333732887,0.5690808150905305,sec_daily_return|spy_daily_return|active_daily_return|sector_spy_close_ratio|rsi_14|macd_histogram|calendar_month_sin|calendar_month_cos|sec_return_5d|spy_return_5d|active_return_5d|ratio_return_5d|sec_return_10d|spy_return_10d|active_return_10d|ratio_return_10d|sec_return_21d|spy_return_21d|active_return_21d|ratio_return_21d|sec_return_63d|spy_return_63d|active_return_63d|ratio_return_63d|sec_return_126d|spy_return_126d|active_return_126d|ratio_return_126d|sec_vol_20d|spy_vol_20d|rel_vol_20d|active_mean_20d|sec_vol_63d|spy_vol_63d|rel_vol_63d|active_mean_63d,0.006957476068583546,BUY,0.0689069044883947,0.5690808150905305,0.039213597371620994,BUY means the model predicts >1% 21-trading-day active return versus SPY. It is not an absolute positive-return guarantee.
